-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,1,2,2,2,|,4.875,|,-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1
-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,2,2,0,2,|,-80.5,|,-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,7,0,0,0,7,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1
-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,7,0,0,0,7,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,0,0,0,1,|,7.25,|,0,-2,-3,-4,-5,-4,-3,-2,-1,-1,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1
0,-2,-3,-4,-5,-4,-3,-2,-1,-1,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,0,1,1,1,|,-88.42499999999927,|,0,-2,-3,-4,-5,-4,-3,-2,-1,0,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,7,0,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1
0,-2,-3,-4,-5,0,-3,0,-1,0,-1,0,0,-4,0,0,0,0,-6,0,0,0,0,-6,0,0,-2,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1,|,8,2,6,1,|,-28.450000000000728,|,0,-2,-3,-4,-5,0,-3,0,-1,0,-1,0,0,-4,0,-2,0,0,-6,0,0,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1
0,-2,-3,-4,-5,-4,-3,-2,-1,0,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0,0,7,0,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1,|,7,0,8,2,|,-11.375,|,0,-2,-3,-4,-5,-4,-3,0,-1,0,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,-2,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,7,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1
0,-2,-3,-4,-5,-4,-3,0,-1,0,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-6,-2,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,7,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1,|,5,0,4,1,|,-157.375,|,0,-2,-3,-4,-5,0,-3,0,-1,0,-1,0,0,-4,0,0,0,0,-6,0,0,0,0,0,0,-6,-2,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,7,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1
0,-2,-3,-4,-5,0,-3,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,0,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,-1,0,0,0,0,0,0,7,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1,|,1,4,8,4,|,39.975000000000364,|,0,-2,-3,-4,-5,0,-3,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,0,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,-1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1
0,-2,-3,-4,-5,0,-3,0,-1,0,-1,0,0,-4,0,-2,0,0,-6,0,0,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1,|,1,1,1,4,|,-153.82500000000073,|,0,-2,-3,-4,-5,0,-3,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,0,0,0,-6,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,-1,0,0,0,0,0,0,7,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,6,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,0,1
0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,-2,0,-3,-6,0,0,0,-7,0,-7,0,-7,6,-7,0,-7,0,0,0,0,0,0,0,0,-1,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,8,4,8,9,|,533.2999999999975,|,0,0,-3,-4,-5,0,0,0,-1,0,0,0,0,-4,0,-2,0,0,-6,0,-2,0,-3,-6,0,0,0,-7,0,-7,0,-7,6,-7,0,-7,7,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,-1
