-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,-6,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,2,1,|,7,2,7,9,|,-28.200000000000728,|,-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,-6,1
-1,-2,-3,-4,-5,-4,-3,-2,-1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,-6,1,|,0,0,0,1,|,-122.45000000000073,|,0,-2,-3,-4,-5,-4,-3,-2,-1,-1,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,1,0
0,-2,-3,-4,-5,-4,-3,-2,-1,-1,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-7,0,-7,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,1,0,|,0,1,2,1,|,-132.875,|,0,-2,-3,-4,-5,-4,-3,-2,-1,0,0,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-7,0,6,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,1,0
0,-2,-3,-4,-5,-4,-3,-2,-1,0,0,-1,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,-7,0,6,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,1,0,|,2,0,4,2,|,-249.29999999999927,|,0,-2,0,-4,-5,-4,-3,-2,-1,0,0,-1,0,0,0,0,0,0,0,-6,0,0,-3,0,0,0,0,-7,0,6,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,1,0
0,-2,0,-4,-5,-4,-3,-2,-1,0,0,-1,0,0,0,0,0,0,0,-6,0,0,-3,0,0,0,0,-7,0,6,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,3,1,0,|,1,0,3,1,|,-232.17499999999927,|,0,0,0,-4,-5,-4,-3,-2,-1,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,0,0,0,-7,0,6,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,1,0
0,0,0,-4,-5,-4,-3,-2,-1,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,0,0,0,-7,0,6,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,1,0,|,7,0,8,2,|,-210,|,0,0,0,-4,-5,-4,-3,0,-1,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,0,0,-2,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,1,0
0,0,0,-4,-5,-4,-3,0,-1,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,0,0,-2,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,1,0,|,8,0,7,0,|,-272.375,|,0,0,0,-4,-5,-4,-3,-1,0,0,0,-1,-2,0,0,0,1,0,0,-6,0,0,-3,0,0,0,-2,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,-5,-4,-3,-1,0,0,0,-1,-2,0,0,0,1,0,0,-6,0,0,-3,0,0,0,-2,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,8,2,7,0,|,-166,|,0,0,0,-4,-5,-4,-3,-2,0,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,0,0,0,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,-5,-4,-3,-2,0,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,0,0,0,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,4,5,4,3,0,0,|,7,0,6,2,|,-182.625,|,0,0,0,-4,-5,-4,-3,0,0,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,-2,0,0,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,5,4,3,0,0
0,0,0,-4,-5,-4,-3,0,0,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,-2,0,0,-7,0,0,0,-7,0,-7,0,-7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,5,4,3,0,0,|,4,3,4,4,|,-320.59999999999854,|,0,0,0,-4,-5,-4,-3,0,0,0,0,-1,-2,0,0,0,0,0,0,-6,0,0,-3,0,-2,0,0,-7,0,0,0,0,0,-7,0,-7,0,0,0,0,-7,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,5,4,3,0,0
